File_Error	Corrected
Viirasat	Virasat
Virasatt	Virasat
VIRASAT	Virasat
BHINIDAA	Bhindiaa
BHHIDNIAA	Bhindiaa
BHINDIAA	Bhindiaa
Bhindiaaa	Bhindiaa
Shantiiaa	Shantiaa
Shhntiaa	Shantiaa
shaantiaa	Shantiaa
Shantiaa	Shantiaa
prasad	Prasad
PRASAD	Prasad
rssgullaaa	Rasgullaa
rasgullaaa	Rasgullaa
pprernaaa	Prerna
prrernaaa	Prerna
prernaaa	Prerna
Prerrnaaa	Prerna
Asmitaa	Asmita
asmita	Asmita
asmita	Asmita
MMUSKAN	Muskan
uMskan	Muskan
muskkan	Muskan
rsgulla	Rasgullaa
rsasgulla	Rasgullaa
Rasgullla	Rasgullaa
SFAAR	Safar
SAFAR	Safar
sfaarr	Safar
ssafar	Safar
MUSKAN	Muskan
Muskn	Muskan
SAFAR	Safar
safaar	Safar
saffar	Safar
Muskann	Muskan
muskan	Muskan
Asmmit	Asmita
asmiita	Asmita
virasata	Virasata
Virasata	Virasata
VIRAASTA	Virasata
ssfari	Safari
ssafari	Safari
safarii	Safari
prme	Prem
preem	Prem
Prem	Prem
aaam	Aam
Aam	Aam
aam	Aam
aamm	Aam
virsaat	Virasat
Viirasat	Virasat
virasat	Virasat
virsat	Virasat
rroshnia	Roshniaa
roshin	Roshni
pattaagrya	Pattagyraa
PATTAGGYRA	Pattagyraa
Pattagyra	Pattagyraa
Sukoon	Sukoon
sukooon	Sukoon
smitaaa	Asmita
smitaaa	Asmita
Kalaakar	Kalakar
KALAAKAR	Kalakar
kkalakar	Kalakar
kalakar	Kalakar
BBHATURAI	Bhaturai
BHATURAII	Bhaturai
BBHATURAI	Bhaturai
bhautrai	Bhaturai
BHBINDI	Bhindi
Bhindi	Bhindi
bhindii	Bhindi
bhhindi	Bhindi
Poojji	Poojai
ppooji	Poojai
poojii	Poojai
poojaii	Poojai
SAPNA	Sapna
Sapna	Sapna
SAAPNA	Sapna
Sapna	Sapna
PYAAAR	Pyaar
PYAAR	Pyaar
khwaib	Khwaab
khwaabi	Khwaabi
Bhhaturaaa	Bhatura
bhaturaaaa	Bhatura
aam	Aam
AAM	Aam
Aam	Aam
PAANNI	Paani
APANI	Paani
nirvnau	Nirvanau
nirvanauu	Nirvanau
NIRVANUA	Nirvana
dhartii	Dharti
dharti	Dharti
DHARIT	Dharti
BHAKTI	Bhakti
bhkti	Bhakti
BHAKTI	Bhakti
Bhtki	Bhakti
asnskaar	Sanskaar
Snnskaar	Sanskaar
Sanskaarr	Sanskaar
SANSSKAAR	Sanskaar
zindagiu	Zindagiu
ZINDDAGIU	Zindagiu
PAKORA	Pakora
pakora	Pakora
laassi	Lassii
LASSIS	Lassii
LASSI	Lassii
ABNDEGAI	Bandegai
bandegai	Bandegai
Am	Aam
aam	Aam
AAam	Aam
AAam	Aam
sannataa	Sannata
Sananta	Sannata
SSannata	Sannata
DDLA	Dila
ddl	Dal
DAAL	Dal
DAL	Dal
geet	Geet
geeet	Geet
geeet	Geet
swwara	Swara
sswara	Swara
srwaa	Swar
SWARA	Swara
Raatt	Raat
rraat	Raat
DURGA	Durgaa
durga	Durgaa
Laddui	Laddui
LADDDUI	Laddui
lladdui	Laddui
Shivv	Shiv
shhvi	Shivi
Bhagwan	Bhagwan
BAHGWAN	Bhagwan
bhagwan	Bhagwan
bhgwan	Bhagwan
DOSA	Dosa
DSOA	Dosa
dhrrtiaa	Dhartiaa
DHARTIAA	Dhartiaa
dhrtiaa	Dhartiaa
DHARTIAA	Dhartiaa
Dos	Dosa
Doosa	Dosa
Swwar	Swar
sswar	Swar
WSAR	Swar
Sukononn	Sukoon
SUKOONN	Sukoon
Bhatuura	Bhatura
BHATURA	Bhatura
hbhatura	Bhatura
swaar	Swar
Swar	Swar
DILI	Dili
Diili	Dili
geett	Geet
Geeet	Geet
GEET	Geet
idliee	Idliee
Idlieee	Idliee
Pakoora	Pakora
PAKORAR	Pakora
PAKORRA	Pakora
pkora	Pakora
Doost	Dost
doost	Dost
dost	Dost
dosst	Dost
SHIV	Shiv
SHSIV	Shiv
doss	Dosa
dosa	Dosa
pal	Pal
PPl	Pal
CHAWAAL	Chawal
chwala	Chawala
Poooja	Pooja
POOJA	Pooja
pakora	Pakora
pkora	Pakora
aama	Aama
aam	Aam
aaam	Aam
am	Aam
ROTI	Roti
rtoi	Roti
SHIV	Shiv
shiiv	Shiv
sihiv	Shiv
Shiv	Shiv
VIRASATT	Virasat
VIRASAT	Virasat
rotii	Roti
roiti	Roti
prem	Prem
prrem	Prem
chawala	Chawala
CCHAWALA	Chawala
MEHMAANEEE	Mehmaanee
mehmanee	Mehmaanee
Mehmaanee	Mehmaanee
Mehmannee	Mehmaanee
saanjhhi	Saanjhi
Saaanjhi	Saanjhi
saanjhi	Saanjhi
Saanjhi	Saanjhi
Biyryni	Biryani
BIRYANI	Biryani
biryani	Biryani
biyrani	Biryani
Idliaa	Idlia
ildiaa	Idlia
IDDLIAA	Idlia
PPANEERN	Paneern
Pneern	Paneern
diin	Din
din	Din
DIN	Din
Din	Din
bhagwan	Bhagwan
Bhagwan	Bhagwan
BHAJAN	Bhajan
BHAJAN	Bhajan
jannanm	Janam
JANAMN	Janamn
bbhindi	Bhindi
BHINDI	Bhindi
roshni	Roshni
ROSHNI	Roshni
ROSHNI	Roshni
KRISHNA	Krishna
Krishhna	Krishna
kkrishna	Krishna
krishna	Krishna
umeed	Umeed
umeed	Umeed
umeeed	Umeed
Jlebiu	Jalebiu
Jaleebiu	Jalebiu
JJalebui	Jalebi
Jlebiu	Jalebiu
krsihnnaee	Krishnaee
KRISHNEAEE	Krishnaee
kriishnee	Krishnaee
Dal	Dal
Dal	Dal
dal	Dal
dll	Dal
kriishna	Krishna
krishna	Krishna
krishn	Krishna
kriishn	Krishna
rsgullaa	Rasgullaa
rasguullaa	Rasgullaa
Rsgullaa	Rasgullaa
rasgullaa	Rasgullaa
biryanin	Biryanin
biryanni	Biryani
BIIRYANIN	Biryanin
khuuhsiee	Khushiee
khhushiee	Khushiee
SAFAR	Safar
safar	Safar
ssafar	Safar
sfar	Safar
DALEEE	Dalee
dlee	Dilee
daleee	Dalee
dleee	Dilee
gulbjamun	Gulabjamun
gluabjamuun	Gulabjamun
gulabjamun	Gulabjamun
Dessha	Desha
deesh	Desh
desha	Desha
Sapna	Sapna
Saapan	Sapna
SAPNNA	Sapna
Sapna	Sapna
VIRASAT	Virasat
virssat	Virasat
vrisatt	Virasat
VIRASAT	Virasat
pneer	Paneer
ppaneer	Paneer
panere	Paneeree
Humssafar	Humsafar
Humsafar	Humsafar
Panneer	Paneer
PANEER	Paneer
PANEER	Paneer
pneer	Paneer
zindagiee	Zindagiee
zindgiee	Zindagiee
zindagieee	Zindagiee
dhatri	Dharti
Dharti	Dharti
alloo	Aloo
aloo	Aloo
Alooo	Aloo
loo	Aloo
SAMOSA	Samosa
SSAMOSA	Samosa
pal	Pal
pal	Pal
PPal	Pal
plal	Pal
din	Din
DIN	Din
din	Din
DALAA	Dala
dala	Dala
dala	Dala
daal	Dal
matrubhasha	Matrubhasha
Mtrubhasha	Matrubhasha
matrubhasha	Matrubhasha
saanjjh	Saanjh
saaanjh	Saanjh
Sanjh	Saanjh
geet	Geet
geget	Geet
GEET	Geet
BIRRYANI	Biryani
BIRYANNI	Biryani
biiryani	Biryani
Lasisi	Lassii
lassii	Lassii
LASISII	Lassii
lssii	Lassii
zinddagi	Zindagi
ZINDAGI	Zindagi
ziindagi	Zindagi
zindgi	Zindagi
Snnata	Sannata
Sannata	Sannata
halwa	Halwa
Hlawa	Hawa
hlawa	Hawa
HHalwa	Halwa
raam	Ram
Rmm	Ram
RAMM	Ram
KHUSHBBOO	Khushboo
KHUSHBOOO	Khushboo
bbhtaura	Bhatura
bhaturra	Bhatura
lddu	Ladduu
LADDU	Ladduu
LADDU	Ladduu
Geeet	Geet
geet	Geet
Geeet	Geet
bhjan	Bhajan
bhhjan	Bhajan
ssaverau	Saverau
asverau	Saverau
PPLA	Pala
Pal	Pal
PaPl	Pal
deshh	Desh
DESH	Desh
rroti	Roti
roti	Roti
biryni	Biryani
Birayni	Biryani
smiati	Asmitai
ASMITTAI	Asmitai
ASMITAI	Asmitai
DIN	Din
din	Din
DINI	Dini
dil	Dil
DILL	Dil
DIIL	Dil
SHAKTI	Shakti
shkkti	Shakti
shakti	Shakti
pyaara	Pyaaraa
pyra	Pyaaraa
PYAAAR	Pyaar
RASGULLAA	Rasgullaa
rasggullaa	Rasgullaa
rasgullaa	Rasgullaa
Smosa	Samosa
Samosa	Samosa
samosa	Samosa
SAMOSSA	Samosa
Ksshan	Kshan
KSHAN	Kshan
ROSHNIA	Roshniaa
RROSHNIA	Roshniaa
Savear	Savera
svera	Savera
SSavear	Savera
shiava	Shivaa
shivaa	Shivaa
shivaa	Shivaa
MUSKANA	Muskana
msukna	Muskana
mmsukna	Muskana
Muskanna	Muskana
pooj	Pooja
POOJA	Pooja
bbandegaia	Bandegaiaa
Bandegaia	Bandegaiaa
bandegaia	Bandegaiaa
Bandegiaa	Bandegaiaa
MMehmaan	Mehmaan
mehmaan	Mehmaan
MEHMAANN	Mehmaan
Biryanui	Biryani
Birnyiu	Biryaniu
SKHAN	Sukoon
kshan	Kshan
kshan	Kshan
kshan	Kshan
ppal	Pal
Pal	Pal
PAL	Pal
Paal	Pal
hBhajan	Bhajan
BHAJAN	Bhajan
JANAM	Janam
jaanam	Janam
JANAMM	Janam
aloo	Aloo
alooo	Aloo
aaloo	Aloo
lloo	Aloo
prasad	Prasad
parsad	Prasad
RRaatn	Raatn
Raaatn	Raatn
RAATNN	Raatn
halwa	Halwa
HALAWA	Halwa
hCai	Chai
Chi	Chai
chai	Chai
Chahi	Chai
Aaasha	Aasha
AASHA	Aasha
mmehmaan	Mehmaan
mehmaaan	Mehmaan
MEEHMAAN	Mehmaan
mehman	Mehmaan
PRERNAAAA	Prerna
PRERNAAA	Prerna
prernaaaa	Prerna
KALAKARA	Kalakara
kalakaraa	Kalakara
kalakara	Kalakara
Kalaakara	Kalakara
paanerea	Paneera
Paaneera	Paneera
paneera	Paneera
paneera	Paneera
shktti	Shakti
shakti	Shakti
Shkit	Shakti
Shakti	Shakti
lassi	Lassii
LASSI	Lassii
Lsssi	Lassii
lsssi	Lassii
kshn	Kshan
kshan	Kshan
Desh	Desh
desh	Desh
DESH	Desh
Chai	Chai
Chai	Chai
PANEER	Paneer
PANEER	Paneer
bhaktni	Bhaktin
bhakktin	Bhaktin
BHAKTIN	Bhaktin
rasuglla	Rasgullaa
RASGULLA	Rasgullaa
kshann	Kshan
kkshnn	Kshan
kshann	Kshan
kshann	Kshan
Durgann	Durgan
DURGNA	Durgaa
DURGAN	Durgan
Durgn	Durgan
DOSA	Dosa
dosa	Dosa
Bachpanni	Bachpani
Bachpani	Bachpani
bachpani	Bachpani
abchpanii	Bachpani
DINII	Dini
Dini	Dini
dinni	Dini
saffar	Safar
safar	Safar
Sanskkaar	Sanskaar
SSANSKAAR	Sanskaar
Snsakar	Sanskaar
diluu	Dilu
diilu	Dilu
dilu	Dilu
aam	Aam
aamm	Aam
aam	Aam
Aaam	Aam
roti	Roti
RoRti	Roti
ROOTI	Roti
rooti	Roti
HALWAAA	Halwa
HAALWAAA	Halwa
halwaaa	Halwa
halwaaaa	Halwa
Cahi	Chai
chai	Chai
SANNATA	Sannata
snnata	Sannata
aSnnata	Sannata
PRERRNA	Prerna
PRRENA	Pyaarn
Preran	Prernan
shakti	Shakti
SAHKTTI	Shakti
shaktti	Shakti
shakkti	Shakti
sshanti	Shanti
shanti	Shanti
Shnti	Shanti
Manizl	Manzil
manzil	Manzil
mnzil	Manzil
MANNZIL	Manzil
MANZIL	Manzil
MANZIIL	Manzil
MANNZIL	Manzil
durgan	Durgan
DDURGAN	Durgan
idli	Idli
iidli	Idli
bachpaanee	Bachpanee
BBACHPANEE	Bachpanee
BACHPANEE	Bachpanee
SHAKTI	Shakti
shakti	Shakti
shhakti	Shakti
Rotii	Roti
ROTII	Roti
Rotii	Roti
Saanskaar	Sanskaar
SANSKAARR	Sanskaar
hhawa	Hawa
aHwa	Aasha
HAWAA	Hawa
bandhan	Bandhan
BANDHNA	Bandhanaa
banndhan	Bandhan
banddhna	Bandhanaa
VIRASSAT	Virasat
virasat	Virasat
vvirasat	Virasat
PPAANI	Paani
PAANI	Paani
apani	Paani
saaanjhi	Saanjhi
asanjhi	Saanjhi
sanhji	Saanjhi
umeed	Umeed
umeed	Umeed
aaam	Aam
aam	Aam
zindgi	Zindagi
ZIINDAGI	Zindagi
Zinndagi	Zindagi
Chaai	Chai
cchi	Chai
pl	Pal
pal	Pal
pyaar	Pyaar
pyyar	Pyaar
Pyar	Pyaar
pyaar	Pyaar
pprern	Prerna
prernaa	Prerna
Prern	Prerna
RAATA	Raataa
raaat	Raat
paneer	Paneer
pneerr	Paneer
Kalakar	Kalakar
kalakra	Kalakara
Kalkaar	Kalakar
kkalakar	Kalakar
iidlii	Idli
IDLII	Idli
Idliii	Idli
aloo	Aloo
lAoo	Aloo
krishna	Krishna
krishn	Krishna
Klakar	Kalakar
kalakar	Kalakar
Kalakra	Kalakara
yadeina	Yaadeina
yadenia	Yaadeina
SUKOOON	Sukoon
Sukoon	Sukoon
Virasatt	Virasat
virrasat	Virasat
Virasat	Virasat
SANNATAEE	Sannataee
SANNTAAEE	Sannataee
CHAII	Chai
chai	Chai
CHAI	Chai
CHAI	Chai
JANMA	Janama
janam	Janam
janam	Janam
jnam	Janam
biryani	Biryani
Biryani	Biryani
nirvana	Nirvana
nirvanaa	Nirvana
nirvaana	Nirvana
Nirvnaa	Nirvana
dal	Dal
DDl	Dal
ddl	Dal
BHAGWANNN	Bhagwan
bhawgaann	Bhagwan
bhagwann	Bhagwan
bhagwann	Bhagwan
daala	Dala
DALA	Dala
ramaa	Ramaa
ramaaa	Ramaa
RAMMAA	Ramaa
ugulabjamun	Gulabjamun
guljbamun	Gulabjamun
gulabjjamun	Gulabjamun
GULABJAMUN	Gulabjamun
SHAKTII	Shakti
Shakti	Shakti
hskti	Shakti
PANEERAA	Paneera
ppaneeraa	Paneera
peneraa	Paneera
Panneeraa	Paneera
RMAI	Rami
RAIM	Ram
Rmi	Rami
YAADEIN	Yaadein
YYaadein	Yaadein
Yaaadein	Yaadein
gaenssh	Ganesh
ganeshh	Ganesh
durga	Durgaa
durg	Durgaa
PRASADD	Prasad
PARASAD	Prasad
raataa	Raataa
rrataa	Raataa
Raataa	Raataa
privaara	Parivaara
PARIVAAARA	Parivaara
parivaara	Parivaara
PARIVAAARA	Parivaara
Khushi	Khushi
kkhushi	Khushi
KHSUHI	Khushi
bhhindii	Bhindi
BHINDII	Bhindi
Krisnhau	Krishnau
kkrishnau	Krishnau
ALLOO	Aloo
aloo	Aloo
Alooo	Aloo
aloo	Aloo
RRaat	Raat
Rat	Raat
RAAT	Raat
Diil	Dil
dil	Dil
DIL	Dil
DIL	Dil
dhaarti	Dharti
dharti	Dharti
Shiv	Shiv
Shiv	Shiv
parivaaar	Parivaar
privaarr	Parivaar
pparivaar	Parivaar
PARIAVAR	Parivaar
MAUSAAM	Mausam
musam	Mausam
musam	Mausam
kshan	Kshan
KSHAAN	Kshan
AAMM	Aam
Aamm	Aam
amm	Aam
AAM	Aam
bcphan	Bhagwan
Bchpan	Bachpan
BACHPAN	Bachpan
Bachpan	Bachpan
Pyar	Pyaar
PAYAAR	Pyaar
ypyaar	Pyaar
kaalkaar	Kalakar
KALAKAR	Kalakar
kalakar	Kalakar
kallakar	Kalakar
Dehs	Dosa
DDSEH	Dosaee
desh	Desh
desh	Desh
Prernaaa	Prerna
Prernaa	Prerna
muskn	Muskan
muskn	Muskan
Jnam	Janam
Janam	Janam
jaanm	Janam
janam	Janam
ddesh	Desh
DEESH	Desh
ddostee	Dostee
doostee	Dostee
DDOSTEE	Dostee
dostee	Dostee
roshni	Roshni
roshni	Roshni
privaar	Parivaar
PARRIVARA	Parivaara
PARIVAAAR	Parivaar
pariivaar	Parivaar
bhktiaa	Bhaktia
BHAKTTIA	Bhaktia
bhaktiaa	Bhaktia
Bhakita	Bhakti
Bandhann	Bandhan
banndhann	Bandhan
BHIDNI	Bhindi
BHINDI	Bhindi
bhindi	Bhindi
bhindi	Bhindi
humfsar	Humsafar
Humsafar	Humsafar
HUMSAAFAR	Humsafar
Humsafar	Humsafar
mmatanr	Matar
matarnn	Matarn
Mtran	Matarn
matarrn	Matarn
kshannee	Kshanee
Kshnee	Kshanee
ARAM	Ram
RAMM	Ram
Rm	Ram
Rm	Ram
dlln	Diln
DDALN	Daln
DDALN	Daln
KRISHANEE	Krishnan
krrishnee	Krishnaee
kkrishnee	Krishnaee
kriishnaee	Krishnaee
Diin	Din
DDin	Din
DIN	Din
din	Din
Diin	Din
din	Din
DIN	Din
Rata	Raataa
RAATT	Raat
rat	Raat
raat	Raat
parivaar	Parivaar
pirvaar	Parivaar
rami	Rami
Rmi	Rami
sapan	Sapna
Spna	Sapna
SAPNA	Sapna
Jalebi	Jalebi
jjalebi	Jalebi
jalebi	Jalebi
muskan	Muskan
mmuskan	Muskan
muskkan	Muskan
muskan	Muskan
Virasatu	Virasatu
virasattu	Virasatu
viraastuu	Virasatu
ASSIMTA	Asmita
smmita	Asmita
asmitaa	Asmita
asmita	Asmita
VIRARSATAA	Virasata
VIRASATAA	Virasata
virasaataa	Virasata
VIRASATAA	Virasata
musskn	Muskan
muskkn	Muskan
dostaa	Dosta
dostaa	Dosta
dosata	Dosta
Dostaa	Dosta
SHHAKTI	Shakti
shakti	Shakti
shakti	Shakti
Shaakti	Shakti
Bhaktinn	Bhaktin
BBhaktin	Bhaktin
bhbaktin	Bhaktin
ssapna	Sapna
SSapna	Sapna
psna	Sapna
sapna	Sapna
KHWAAAB	Khwaab
khwaab	Khwaab
khwaab	Khwaab
KKhwab	Khwaab
HHlaw	Hawa
halwa	Halwa
HHALWA	Halwa
AASHAAU	Aashau
asahau	Aashau
aashau	Aashau
AASHAUU	Aashau
Bhgwan	Bhagwan
BHAGWAN	Bhagwan
swree	Swaree
swareee	Swaree
swaree	Swaree
Swraee	Swara
raat	Raat
rat	Raat
pprasad	Prasad
PRRASAD	Prasad
shahnti	Shanti
shanti	Shanti
shanti	Shanti
Lassiee	Lassiee
alssiee	Lassiee
SSANNATA	Sannata
snnata	Sannata
humsafarn	Humsafarn
humsafarrn	Humsafarn
Husmafarn	Humsafarn
RAM	Ram
rram	Ram
Rm	Ram
ram	Ram
EMHMAAAN	Mehmaan
MEHMAAN	Mehmaan
mmehmaan	Mehmaan
MEHMAAN	Mehmaan
JLAEBI	Jalebi
jalebi	Jalebi
JALEBI	Jalebi
dosta	Dosta
Dosta	Dosta
DOSTTA	Dosta
dosta	Dosta
Mtrubhasha	Matrubhasha
mtrubhassha	Matrubhasha
mmtrubhasha	Matrubhasha
Matrubhasha	Matrubhasha
Pneer	Paneer
PANEEER	Paneer
lasssi	Lassii
LASSSI	Lassii
rasgullaa	Rasgullaa
RASGULLAA	Rasgullaa
bachphanaa	Bachpanaa
bccphanaa	Bhagwana
Baachpaana	Bachpanaa
sanskkaar	Sanskaar
SANSKAAR	Sanskaar
snsskaar	Sanskaar
GULABJAMUUN	Gulabjamun
gulabjamun	Gulabjamun
Gulbbjamun	Gulabjamun
POOJA	Pooja
ppooja	Pooja
NIRVAANEE	Nirvanaee
nirvanaeee	Nirvanaee
nirvnaee	Nirvanaee
pl	Pal
Pall	Pal
Musskan	Muskan
muskan	Muskan
musskan	Muskan
muskan	Muskan
DAL	Dal
ddal	Dal
Matar	Matar
maatar	Matar
SSamosaaa	Samosa
samooasaa	Samosa
smaosaaa	Samosa
SAMOSAAA	Samosa
AASHAAA	Aasha
AASHAAA	Aasha
Aahsaaa	Aasha
bhindi	Bhindi
BHIINDI	Bhindi
BHINDI	Bhindi
Bdnhanni	Bandhani
BBANDHANI	Bandhani
BNADHANI	Bandhani
banhdani	Bandhani
LLassi	Lassii
Lassi	Lassii
Aloo	Aloo
ALOOO	Aloo
AALOO	Aloo
aloo	Aloo
laddu	Ladduu
ldddu	Ladduu
LLADDU	Ladduu
lalddu	Ladduu
rrasgullau	Rasgullau
rasgullaau	Rasgullau
RASGULLLAU	Rasgullau
Gulabjamun	Gulabjamun
guulbjamun	Gulabjamun
GULABJAMUN	Gulabjamun
bndegai	Bandegai
bandegai	Bandegai
rroti	Roti
rroti	Roti
aloloaa	Alooaa
AOLOAA	Alooaa
ALOOOAA	Alooaa
KHWAAB	Khwaab
kwhaaab	Khwaab
KHWAABB	Khwaab
kkhwab	Khwaab
KHWABA	Khwaaba
roti	Roti
rotii	Roti
mnziil	Manzil
Manzill	Manzil
Pneer	Paneer
Paneeer	Paneer
pneer	Paneer
Pnneer	Paneer
biryni	Biryani
Biryaani	Biryani
biryyani	Biryani
biryani	Biryani
shiv	Shiv
Shiv	Shiv
jlebbi	Jalebi
JALEBI	Jalebi
jalebi	Jalebi
jjalebi	Jalebi
Halwa	Halwa
Halwa	Halwa
Halwa	Halwa
dessh	Desh
DDesh	Desh
Desh	Desh
Desh	Desh
dll	Dal
dal	Dal
Dl	Dal
asmmita	Asmita
asmtiaa	Asmita
smitta	Asmita
lsssi	Lassii
LASSI	Lassii
Laddu	Ladduu
alddu	Ladduu
LADDU	Ladduu
LAADDU	Ladduu
ddin	Din
Diin	Din
din	Din
Din	Din
PALL	Pal
pal	Pal
PAL	Pal
Pal	Pal
prasadaa	Prasadaa
prsaddaa	Prasadaa
PRASADAA	Prasadaa
virasateee	Virasatee
Viarasatee	Virasatee
smita	Asmita
asmita	Asmita
ASMITTA	Asmita
CHAI	Chai
Chaii	Chai
chai	Chai
chai	Chai
swwraa	Swara
swaraaa	Swara
swaraa	Swara
Swaraa	Swara
RAM	Ram
Ram	Ram
KHUSSHBOO	Khushboo
khushhboo	Khushboo
Dosaa	Dosa
dosa	Dosa
dosa	Dosa
Dos	Dosa
Chaii	Chai
Chhai	Chai
chi	Chai
SAPPNA	Sapna
saanpa	Sapna
sapna	Sapna
bhiindi	Bhindi
BHINDI	Bhindi
bhinid	Bhindi
BBHINDI	Bhindi
raatti	Raati
ratti	Raati
Raatii	Raati
raati	Raati
MAUUSAM	Mausam
MAUSAM	Mausam
shiv	Shiv
Shhiv	Shiv
SHIVV	Shiv
yaadeinaa	Yaadeina
yaadeinaa	Yaadeina
yaadeinaa	Yaadeina
saveraee	Saveraee
saveraee	Saveraee
Saverraee	Saveraee
SAVERAEE	Saveraee
humsafarr	Humsafar
HUMASFAR	Humsafar
humsafar	Humsafar
hhumsafr	Humsafar
SAAPNA	Sapna
sapnna	Sapna
Sapna	Sapna
SSpna	Sapna
SAAFAR	Safar
SAFARR	Safar
SAFAR	Safar
PANEER	Paneer
paneerr	Paneer
paneer	Paneer
Spnaa	Sapna
sapnaa	Sapna
ssapna	Sapna
JANAAM	Janam
janaam	Janam
jjanam	Janam
AJNAAM	Janam
HAWA	Hawa
hawa	Hawa
DIN	Din
din	Din
DIN	Din
din	Din
kalakar	Kalakar
kalakar	Kalakar
klakarr	Kalakar
kalakkar	Kalakar
Deesh	Desh
Desh	Desh
desh	Desh
desh	Desh
rasgullla	Rasgullaa
rrasgulal	Rasgullaa
RASGULLAA	Rasgullaa
RASGULLA	Rasgullaa
kalakar	Kalakar
Kalakaar	Kalakar
VIRASAT	Virasat
Viraast	Virasat
Virasat	Virasat
Visrat	Virasat
Saaanjh	Saanjh
ssanjh	Saanjh
saanjh	Saanjh
bhagwan	Bhagwan
BHAGWAN	Bhagwan
musnk	Muskan
muskan	Muskan
muuskan	Muskan
KHUSHII	Khushi
Khushii	Khushi
ADLL	Idli
dal	Dal
dl	Dal
dal	Dal
PRASAD	Prasad
prasda	Prasadaa
prasad	Prasad
khwaaab	Khwaab
khwab	Khwaab
khwaaab	Khwaab
khwaab	Khwaab
raat	Raat
Rata	Raataa
raat	Raat
SMAOSA	Samosa
SAMOSA	Samosa
sammosa	Samosa
Samosa	Samosa
hwaa	Hawa
ahwa	Aasha
hummsafarn	Humsafarn
Humsfarn	Humsafarn
pyaarr	Pyaar
pyaar	Pyaar
din	Din
Din	Din
rotti	Roti
rotai	Roti
rooshnin	Roshnin
orshnin	Roshnin
Vriasat	Virasat
Virasat	Virasat
Sukoonu	Sukoonu
sukooonu	Sukoonu
sukoonuu	Sukoonu
Gulabjamun	Gulabjamun
Gulabjamun	Gulabjamun
durga	Durgaa
DURGA	Durgaa
DURGA	Durgaa
dinnn	Din
dinn	Din
