File_Error	Corrected
VIRASAT	Virasat
BHINIDAA	Bhindia
BHHIDNIAA	Bhindia
BHINDIAA	Bhindia
Bhindiaaa	Bhindia
Shantiiaa	Shantia
Shhntiaa	Roshnia
shaantiaa	Shantia
Shantiaa	Shantia
prasad	Prasad
PRASAD	Prasad
rssgullaaa	Rasgulla
rasgullaaa	Rasgulla
pprernaaa	Prerna
prrernaaa	Prerna
prernaaa	Prerna
Prerrnaaa	Prerna
Asmitaa	Asmita
asmita	Asmita
asmita	Asmita
MMUSKAN	Muskan
uMskan	Muskan
muskkan	Muskan
rsgulla	Rasgulla
rsasgulla	Rasgulla
Rasgullla	Rasgulla
SFAAR	Humsafar
SAFAR	Safar
sfaarr	Humsafar
ssafar	Safar
MUSKAN	Muskan
Muskn	Muskan
SAFAR	Safar
safaar	Safar
saffar	Safar
Muskann	Muskan
muskan	Muskan
Asmmit	Asmita
asmiita	Asmita
virasata	Virasata
Virasata	Virasata
VIRAASTA	Virasata
ssfari	Safari
ssafari	Safari
safarii	Safari
prme	Prem
preem	Prem
Prem	Prem
aaam	Aam
Aam	Aam
aam	Aam
aamm	Aam
virsaat	Virasat
Viirasat	Virasat
virasat	Virasat
virsat	Virasat
rroshnia	Roshnia
roshin	Roshnin
pattaagrya	Matara
PATTAGGYRA	Pattagyra
Pattagyra	Pattagyra
Sukoon	Sukoon
sukooon	Sukoon
smitaaa	Asmita
smitaaa	Asmita
Kalaakar	Kalakar
KALAAKAR	Kalakar
kkalakar	Kalakar
kalakar	Kalakar
BBHATURAI	Bhaturai
BHATURAII	Bhaturai
BBHATURAI	Bhaturai
bhautrai	Bhaturai
BHBINDI	Bhindi
Bhindi	Bhindi
bhindii	Bhindi
bhhindi	Bhindi
Poojji	Poojai
ppooji	Poojai
poojii	Poojai
poojaii	Poojai
SAPNA	Sapna
Sapna	Sapna
SAAPNA	Sapna
Sapna	Sapna
PYAAAR	Pyaar
PYAAR	Pyaar
khwaib	Khwaab
khwaabi	Khwaabi
Bhhaturaaa	Bhatura
bhaturaaaa	Bhatura
aam	Aam
AAM	Aam
Aam	Aam
PAANNI	Paani
APANI	Paani
nirvnau	Nirvanau
nirvanauu	Nirvanau
NIRVANUA	Nirvana
dhartii	Dharti
dharti	Dharti
DHARIT	Dharti
BHAKTI	Shakti
bhkti	Shakti
BHAKTI	Shakti
Bhtki	Shakti
asnskaar	Sanskaar
Snnskaar	Sanskaar
Sanskaarr	Sanskaar
SANSSKAAR	Sanskaar
zindagiu	Zindagiu
ZINDDAGIU	Zindagiu
PAKORA	Pakora
pakora	Pakora
laassi	Lassi
LASSIS	Lassi
LASSI	Lassi
ABNDEGAI	Bandegai
bandegai	Bandegai
Am	Aam
aam	Aam
AAam	Aam
AAam	Aam
sannataa	Sannata
Sananta	Sannata
SSannata	Sannata
DDLA	Idlia
ddl	Idli
DAAL	Dal
DAL	Dal
geet	Geet
geeet	Geet
geeet	Geet
swwara	Swara
sswara	Swara
srwaa	Dosa
SWARA	Swara
Raatt	Virasat
rraat	Virasat
DURGA	Durga
durga	Durga
Laddui	Laddui
LADDDUI	Laddui
lladdui	Laddui
Shivv	Shiv
shhvi	Deshi
Bhagwan	Bhagwan
BAHGWAN	Bhagwan
bhagwan	Bhagwan
bhgwan	Bhagwan
DOSA	Dosa
DSOA	Dosa
dhrrtiaa	Dhartiaa
DHARTIAA	Dhartiaa
dhrtiaa	Dhartiaa
DHARTIAA	Dhartiaa
Dos	Dosa
Doosa	Dosa
Swwar	Swar
sswar	Swar
WSAR	Swar
Sukononn	Sukoon
SUKOONN	Sukoon
Bhatuura	Bhatura
BHATURA	Bhatura
hbhatura	Bhatura
swaar	Swar
Swar	Swar
DILI	Idli
Diili	Idli
geett	Geet
Geeet	Geet
GEET	Geet
idliee	Idliee
Idlieee	Idliee
Pakoora	Pakora
PAKORAR	Pakora
PAKORRA	Pakora
pkora	Pakora
Doost	Dost
doost	Dost
dost	Dost
dosst	Dost
SHIV	Shiv
SHSIV	Shiv
doss	Dosa
dosa	Dosa
pal	Dal
PPl	Dal
CHAWAAL	Chawal
chwala	Chawala
Poooja	Pooja
POOJA	Pooja
pakora	Pakora
pkora	Pakora
aama	Rama
aam	Aam
aaam	Aam
am	Aam
ROTI	Roti
rtoi	Dharti
SHIV	Shiv
shiiv	Shiv
sihiv	Shiv
Shiv	Shiv
VIRASATT	Virasat
VIRASAT	Virasat
rotii	Roti
roiti	Roti
prem	Prem
prrem	Prem
chawala	Chawala
CCHAWALA	Chawala
MEHMAANEEE	Mehmaanee
mehmanee	Mehmaanee
Mehmaanee	Mehmaanee
Mehmannee	Mehmaanee
saanjhhi	Saanjhi
Saaanjhi	Saanjhi
saanjhi	Saanjhi
Saanjhi	Saanjhi
Biyryni	Biryani
BIRYANI	Biryani
biryani	Biryani
biyrani	Biryani
Idliaa	Idlia
ildiaa	Dila
IDDLIAA	Idlia
PPANEERN	Paneern
Pneern	Paneern
diin	Din
din	Din
DIN	Din
Din	Din
bhagwan	Bhagwan
Bhagwan	Bhagwan
BHAJAN	Bhajan
BHAJAN	Bhajan
jannanm	Janam
JANAMN	Janamn
bbhindi	Bhindi
BHINDI	Bhindi
roshni	Roshni
ROSHNI	Roshni
ROSHNI	Roshni
KRISHNA	Krishna
Krishhna	Krishna
kkrishna	Krishna
krishna	Krishna
umeed	Umeed
umeed	Umeed
umeeed	Umeed
Jlebiu	Jalebiu
Jaleebiu	Jalebiu
JJalebui	Jalebi
Jlebiu	Jalebiu
krsihnnaee	Krishnaee
KRISHNEAEE	Krishnaee
kriishnee	Krishnaee
Dal	Dal
Dal	Dal
dal	Dal
dll	Idli
kriishna	Krishna
krishna	Krishna
krishn	Krishna
kriishn	Krishna
rsgullaa	Rasgulla
rasguullaa	Rasgulla
Rsgullaa	Rasgulla
rasgullaa	Rasgulla
biryanin	Biryanin
biryanni	Biryani
BIIRYANIN	Biryanin
khuuhsiee	Khushiee
khhushiee	Khushiee
SAFAR	Safar
safar	Safar
ssafar	Safar
sfar	Humsafar
DALEEE	Dalee
dlee	Idliee
daleee	Dalee
dleee	Idliee
gulbjamun	Gulabjamun
gluabjamuun	Gulabjamun
gulabjamun	Gulabjamun
Dessha	Desha
deesh	Desh
desha	Desha
Sapna	Sapna
Saapan	Sapnan
SAPNNA	Sapna
Sapna	Sapna
VIRASAT	Virasat
virssat	Virasat
vrisatt	Virasat
VIRASAT	Virasat
pneer	Paneer
ppaneer	Paneer
panere	Paneeree
Humssafar	Humsafar
Humsafar	Humsafar
Panneer	Paneer
PANEER	Paneer
PANEER	Paneer
pneer	Paneer
zindagiee	Zindagiee
zindgiee	Zindagiee
zindagieee	Zindagiee
dhatri	Bhaturai
Dharti	Dharti
alloo	Dal
aloo	Dal
Alooo	Dal
loo	Aloo
SAMOSA	Samosa
SSAMOSA	Samosa
pal	Dal
pal	Dal
PPal	Dal
plal	Dal
din	Din
DIN	Din
din	Din
DALAA	Pala
dala	Pala
dala	Pala
daal	Dal
matrubhasha	Matrubhasha
Mtrubhasha	Matrubhasha
matrubhasha	Matrubhasha
saanjjh	Saanjh
saaanjh	Saanjh
Sanjh	Saanjh
geet	Geet
geget	Geet
GEET	Geet
BIRRYANI	Biryani
BIRYANNI	Biryani
biiryani	Biryani
Lasisi	Lassi
lassii	Lassi
LASISII	Lassi
lssii	Idli
zinddagi	Zindagi
ZINDAGI	Zindagi
ziindagi	Zindagi
zindgi	Zindagi
Snnata	Sannata
Sannata	Sannata
halwa	Halwa
Hlawa	Chawal
hlawa	Chawal
HHalwa	Halwa
raam	Aam
Rmm	Prem
RAMM	Aam
KHUSHBBOO	Khushboo
KHUSHBOOO	Khushboo
bbhtaura	Bhatura
bhaturra	Bhatura
lddu	Dilu
LADDU	Laddu
LADDU	Laddu
Geeet	Geet
geet	Geet
Geeet	Geet
bhjan	Bhajan
bhhjan	Bhajan
ssaverau	Saverau
asverau	Saverau
PPLA	Pala
Pal	Dal
PaPl	Dal
deshh	Desh
DESH	Desh
rroti	Roti
roti	Roti
biryni	Biryani
Birayni	Biryani
smiati	Asmitai
ASMITTAI	Asmitai
ASMITAI	Asmitai
DIN	Din
din	Din
DINI	Dini
dil	Dil
DILL	Dil
DIIL	Dil
SHAKTI	Shakti
shkkti	Shakti
shakti	Shakti
pyaara	Pyaara
pyra	Pyaara
PYAAAR	Pyaar
RASGULLAA	Rasgulla
rasggullaa	Rasgulla
rasgullaa	Rasgulla
Smosa	Samosa
Samosa	Samosa
samosa	Samosa
SAMOSSA	Samosa
Ksshan	Kshan
KSHAN	Kshan
ROSHNIA	Roshnia
RROSHNIA	Roshnia
Savear	Savera
svera	Savera
SSavear	Savera
shiava	Roshniaa
shivaa	Shivaa
shivaa	Shivaa
MUSKANA	Muskana
msukna	Muskana
mmsukna	Muskana
Muskanna	Muskana
pooj	Pooja
POOJA	Pooja
bbandegaia	Bandegaia
Bandegaia	Bandegaia
bandegaia	Bandegaia
Bandegiaa	Bandegaia
MMehmaan	Mehmaan
mehmaan	Mehmaan
MEHMAANN	Mehmaan
Biryanui	Biryani
Birnyiu	Biryaniu
SKHAN	Kshan
kshan	Kshan
kshan	Kshan
kshan	Kshan
ppal	Dal
Pal	Dal
PAL	Dal
Paal	Dal
hBhajan	Bhajan
BHAJAN	Bhajan
JANAM	Janam
jaanam	Janam
JANAMM	Janam
aloo	Dal
alooo	Dal
aaloo	Dal
lloo	Aloo
prasad	Prasad
parsad	Prasad
RRaatn	Virasatn
Raaatn	Virasatn
RAATNN	Virasatn
halwa	Halwa
HALAWA	Halwa
hCai	Chai
Chi	Shiv
chai	Chai
Chahi	Chai
Aaasha	Aasha
AASHA	Aasha
mmehmaan	Mehmaan
mehmaaan	Mehmaan
MEEHMAAN	Mehmaan
mehman	Mehmaan
PRERNAAAA	Prerna
PRERNAAA	Prerna
prernaaaa	Prerna
KALAKARA	Kalakara
kalakaraa	Kalakara
kalakara	Kalakara
Kalaakara	Kalakara
paanerea	Paneera
Paaneera	Paneera
paneera	Paneera
paneera	Paneera
shktti	Shakti
shakti	Shakti
Shkit	Deshi
Shakti	Shakti
lassi	Lassi
LASSI	Lassi
Lsssi	Idli
lsssi	Idli
kshn	Kshan
kshan	Kshan
Desh	Desh
desh	Desh
DESH	Desh
Chai	Chai
Chai	Chai
PANEER	Paneer
PANEER	Paneer
bhaktni	Shakti
bhakktin	Bhaktin
BHAKTIN	Bhaktin
rasuglla	Rasgulla
RASGULLA	Rasgulla
kshann	Kshan
kkshnn	Kshan
kshann	Kshan
kshann	Kshan
Durgann	Durgan
DURGNA	Durga
DURGAN	Durgan
Durgn	Durgan
DOSA	Dosa
dosa	Dosa
Bachpanni	Bachpani
Bachpani	Bachpani
bachpani	Bachpani
abchpanii	Bachpani
DINII	Dini
Dini	Dini
dinni	Dini
saffar	Safar
safar	Safar
Sanskkaar	Sanskaar
SSANSKAAR	Sanskaar
Snsakar	Sanskaar
diluu	Dilu
diilu	Dilu
dilu	Dilu
aam	Aam
aamm	Aam
aam	Aam
Aaam	Aam
roti	Roti
RoRti	Roti
ROOTI	Roti
rooti	Roti
HALWAAA	Halwa
HAALWAAA	Halwa
halwaaa	Halwa
halwaaaa	Halwa
Cahi	Aashai
chai	Chai
SANNATA	Sannata
snnata	Sannata
aSnnata	Sannata
PRERRNA	Prerna
PRRENA	Prerna
Preran	Prernan
shakti	Shakti
SAHKTTI	Shakti
shaktti	Shakti
shakkti	Shakti
sshanti	Shanti
shanti	Shanti
Shnti	Shanti
Manizl	Manzil
manzil	Manzil
mnzil	Manzil
MANNZIL	Manzil
MANZIL	Manzil
MANZIIL	Manzil
MANNZIL	Manzil
durgan	Durgan
DDURGAN	Durgan
idli	Idli
iidli	Idli
bachpaanee	Bachpanee
BBACHPANEE	Bachpanee
BACHPANEE	Bachpanee
SHAKTI	Shakti
shakti	Shakti
shhakti	Shakti
Rotii	Roti
ROTII	Roti
Rotii	Roti
Saanskaar	Sanskaar
SANSKAARR	Sanskaar
hhawa	Chawal
aHwa	Hawa
HAWAA	Chawal
bandhan	Bandhan
BANDHNA	Bandhana
banndhan	Bandhan
banddhna	Bandhana
VIRASSAT	Virasat
virasat	Virasat
vvirasat	Virasat
PPAANI	Paani
PAANI	Paani
apani	Paani
saaanjhi	Saanjhi
asanjhi	Saanjhi
sanhji	Kshani
umeed	Umeed
umeed	Umeed
aaam	Aam
aam	Aam
zindgi	Zindagi
ZIINDAGI	Zindagi
Zinndagi	Zindagi
Chaai	Chai
cchi	Shiv
pl	Dal
pal	Dal
pyaar	Pyaar
pyyar	Pyaar
Pyar	Pyaar
pyaar	Pyaar
pprern	Prerna
prernaa	Prerna
Prern	Prerna
RAATA	Matar
raaat	Virasat
paneer	Paneer
pneerr	Paneer
Kalakar	Kalakar
kalakra	Kalakara
Kalkaar	Kalakar
kkalakar	Kalakar
iidlii	Idli
IDLII	Idli
Idliii	Idli
aloo	Dal
lAoo	Pala
krishna	Krishna
krishn	Krishna
Klakar	Kalakar
kalakar	Kalakar
Kalakra	Kalakara
yadeina	Yaadeina
yadenia	Yaadeina
SUKOOON	Sukoon
Sukoon	Sukoon
Virasatt	Virasat
virrasat	Virasat
Virasat	Virasat
SANNATAEE	Sannataee
SANNTAAEE	Kshana
CHAII	Chai
chai	Chai
CHAI	Chai
CHAI	Chai
JANMA	Janama
janam	Janam
janam	Janam
jnam	Janam
biryani	Biryani
Biryani	Biryani
nirvana	Nirvana
nirvanaa	Nirvana
nirvaana	Nirvana
Nirvnaa	Nirvana
dal	Dal
DDl	Idli
ddl	Idli
BHAGWANNN	Bhagwan
bhawgaann	Bhagwan
bhagwann	Bhagwan
bhagwann	Bhagwan
daala	Pala
DALA	Pala
ramaa	Rama
ramaaa	Rama
RAMMAA	Rama
ugulabjamun	Gulabjamun
guljbamun	Gulabjamun
gulabjjamun	Gulabjamun
GULABJAMUN	Gulabjamun
SHAKTII	Shakti
Shakti	Shakti
hskti	Shakti
PANEERAA	Paneera
ppaneeraa	Paneera
peneraa	Paneera
Panneeraa	Paneera
RMAI	Prema
RAIM	Durgai
Rmi	Premi
YAADEIN	Yaadein
YYaadein	Yaadein
Yaaadein	Yaadein
gaenssh	Ganesh
ganeshh	Ganesh
durga	Durga
durg	Durga
PRASADD	Prasad
PARASAD	Prasad
raataa	Matar
rrataa	Matar
Raataa	Matar
privaara	Parivaara
PARIVAAARA	Parivaara
parivaara	Parivaara
PARIVAAARA	Parivaara
Khushi	Khushi
kkhushi	Khushi
KHSUHI	Khushi
bhhindii	Bhindi
BHINDII	Bhindi
Krisnhau	Krishnau
kkrishnau	Krishnau
ALLOO	Dal
aloo	Dal
Alooo	Dal
aloo	Dal
RRaat	Virasat
Rat	Virasat
RAAT	Virasat
Diil	Dil
dil	Dil
DIL	Dil
DIL	Dil
dhaarti	Dharti
dharti	Dharti
Shiv	Shiv
Shiv	Shiv
parivaaar	Parivaar
privaarr	Parivaar
pparivaar	Parivaar
PARIAVAR	Parivaar
MAUSAAM	Mausam
musam	Mausam
musam	Mausam
kshan	Kshan
KSHAAN	Kshan
AAMM	Aam
Aamm	Aam
amm	Aam
AAM	Aam
bcphan	Bachpan
Bchpan	Bachpan
BACHPAN	Bachpan
Bachpan	Bachpan
Pyar	Pyaar
PAYAAR	Matar
ypyaar	Pyaar
kaalkaar	Kalakar
KALAKAR	Kalakar
kalakar	Kalakar
kallakar	Kalakar
Dehs	Desh
DDSEH	Desh
desh	Desh
desh	Desh
Prernaaa	Prerna
Prernaa	Prerna
muskn	Muskan
muskn	Muskan
Jnam	Janam
Janam	Janam
jaanm	Janam
janam	Janam
ddesh	Desh
DEESH	Desh
ddostee	Dostee
doostee	Dostee
DDOSTEE	Dostee
dostee	Dostee
roshni	Roshni
roshni	Roshni
privaar	Parivaar
PARRIVARA	Parivaara
PARIVAAAR	Parivaar
pariivaar	Parivaar
bhktiaa	Bhaktia
BHAKTTIA	Bhaktia
bhaktiaa	Bhaktia
Bhakita	Bhaktia
Bandhann	Bandhan
banndhann	Bandhan
BHIDNI	Bhindi
BHINDI	Bhindi
bhindi	Bhindi
bhindi	Bhindi
humfsar	Humsafar
Humsafar	Humsafar
HUMSAAFAR	Humsafar
Humsafar	Humsafar
mmatanr	Matar
matarnn	Matarn
Mtran	Asmitan
matarrn	Matarn
kshannee	Kshanee
Kshnee	Kshanee
ARAM	Janam
RAMM	Aam
Rm	Prem
Rm	Prem
dlln	Idli
DDALN	Paln
DDALN	Paln
KRISHANEE	Krishnan
krrishnee	Krishnaee
kkrishnee	Krishnaee
kriishnaee	Krishnaee
Diin	Din
DDin	Din
DIN	Din
din	Din
Diin	Din
din	Din
DIN	Din
Rata	Matar
RAATT	Virasat
rat	Virasat
raat	Virasat
parivaar	Parivaar
pirvaar	Nirvana
rami	Rami
Rmi	Premi
sapan	Sapnan
Spna	Sapna
SAPNA	Sapna
Jalebi	Jalebi
jjalebi	Jalebi
jalebi	Jalebi
muskan	Muskan
mmuskan	Muskan
muskkan	Muskan
muskan	Muskan
Virasatu	Virasatu
virasattu	Virasatu
viraastuu	Virasatu
ASSIMTA	Asmita
smmita	Asmita
asmitaa	Asmita
asmita	Asmita
VIRARSATAA	Virasata
VIRASATAA	Virasata
virasaataa	Virasata
VIRASATAA	Virasata
musskn	Muskan
muskkn	Muskan
dostaa	Dosta
dostaa	Dosta
dosata	Dosta
Dostaa	Dosta
SHHAKTI	Shakti
shakti	Shakti
shakti	Shakti
Shaakti	Shakti
Bhaktinn	Bhaktin
BBhaktin	Bhaktin
bhbaktin	Bhaktin
ssapna	Sapna
SSapna	Sapna
psna	Sapna
sapna	Sapna
KHWAAAB	Khwaab
khwaab	Khwaab
khwaab	Khwaab
KKhwab	Khwaab
HHlaw	Chawal
halwa	Halwa
HHALWA	Halwa
AASHAAU	Aashau
asahau	Aashau
aashau	Aashau
AASHAUU	Aashau
Bhgwan	Bhagwan
BHAGWAN	Bhagwan
swree	Swaree
swareee	Swaree
swaree	Swaree
Swraee	Swara
raat	Virasat
rat	Virasat
pprasad	Prasad
PRRASAD	Prasad
shahnti	Shanti
shanti	Shanti
shanti	Shanti
Lassiee	Lassiee
alssiee	Pali
SSANNATA	Sannata
snnata	Sannata
humsafarn	Humsafarn
humsafarrn	Humsafarn
Husmafarn	Humsafarn
RAM	Aam
rram	Aam
Rm	Prem
ram	Aam
EMHMAAAN	Mehmaan
MEHMAAN	Mehmaan
mmehmaan	Mehmaan
MEHMAAN	Mehmaan
JLAEBI	Jalebi
jalebi	Jalebi
JALEBI	Jalebi
dosta	Dosta
Dosta	Dosta
DOSTTA	Dosta
dosta	Dosta
Mtrubhasha	Matrubhasha
mtrubhassha	Matrubhasha
mmtrubhasha	Matrubhasha
Matrubhasha	Matrubhasha
Pneer	Paneer
PANEEER	Paneer
lasssi	Lassi
LASSSI	Lassi
rasgullaa	Rasgulla
RASGULLAA	Rasgulla
bachphanaa	Bachpanaa
bccphanaa	Bachpanaa
Baachpaana	Bachpanaa
sanskkaar	Sanskaar
SANSKAAR	Sanskaar
snsskaar	Sanskaar
GULABJAMUUN	Gulabjamun
gulabjamun	Gulabjamun
Gulbbjamun	Gulabjamun
POOJA	Pooja
ppooja	Pooja
NIRVAANEE	Nirvanaee
nirvanaeee	Nirvanaee
nirvnaee	Nirvanaee
pl	Dal
Pall	Dal
Musskan	Muskan
muskan	Muskan
musskan	Muskan
muskan	Muskan
DAL	Dal
ddal	Dal
Matar	Matar
maatar	Matar
SSamosaaa	Samosa
samooasaa	Samosa
smaosaaa	Samosa
SAMOSAAA	Samosa
AASHAAA	Aasha
AASHAAA	Aasha
Aahsaaa	Aasha
bhindi	Bhindi
BHIINDI	Bhindi
BHINDI	Bhindi
Bdnhanni	Bandhani
BBANDHANI	Bandhani
BNADHANI	Bandhani
banhdani	Bandhani
LLassi	Lassi
Lassi	Lassi
Aloo	Dal
ALOOO	Dal
AALOO	Dal
aloo	Dal
laddu	Laddu
ldddu	Dilu
LLADDU	Laddu
lalddu	Dalu
rrasgullau	Rasgullau
rasgullaau	Rasgullau
RASGULLLAU	Rasgullau
Gulabjamun	Gulabjamun
guulbjamun	Gulabjamun
GULABJAMUN	Gulabjamun
bndegai	Bandegai
bandegai	Bandegai
rroti	Roti
rroti	Roti
aloloaa	Alooa
AOLOAA	Pala
ALOOOAA	Pala
KHWAAB	Khwaab
kwhaaab	Khwaab
KHWAABB	Khwaab
kkhwab	Khwaab
KHWABA	Khwaaba
roti	Roti
rotii	Roti
mnziil	Manzil
Manzill	Manzil
Pneer	Paneer
Paneeer	Paneer
pneer	Paneer
Pnneer	Paneer
biryni	Biryani
Biryaani	Biryani
biryyani	Biryani
biryani	Biryani
shiv	Shiv
Shiv	Shiv
jlebbi	Jalebi
JALEBI	Jalebi
jalebi	Jalebi
jjalebi	Jalebi
Halwa	Halwa
Halwa	Halwa
Halwa	Halwa
dessh	Desh
DDesh	Desh
Desh	Desh
Desh	Desh
dll	Idli
dal	Dal
Dl	Idli
asmmita	Asmita
asmtiaa	Asmita
smitta	Asmita
lsssi	Idli
LASSI	Lassi
Laddu	Laddu
alddu	Dalu
LADDU	Laddu
LAADDU	Laddu
ddin	Din
Diin	Din
din	Din
Din	Din
PALL	Dal
pal	Dal
PAL	Dal
Pal	Dal
prasadaa	Prasada
prsaddaa	Prasada
PRASADAA	Prasada
virasateee	Virasatee
Viarasatee	Virasatee
smita	Asmita
asmita	Asmita
ASMITTA	Asmita
CHAI	Chai
Chaii	Chai
chai	Chai
chai	Chai
swwraa	Swara
swaraaa	Swara
swaraa	Swara
Swaraa	Swara
RAM	Aam
Ram	Aam
KHUSSHBOO	Khushboo
khushhboo	Khushboo
Dosaa	Dosa
dosa	Dosa
dosa	Dosa
Dos	Dosa
Chaii	Chai
Chhai	Chai
chi	Shiv
SAPPNA	Sapna
saanpa	Kshana
sapna	Sapna
bhiindi	Bhindi
BHINDI	Bhindi
bhinid	Bhindi
BBHINDI	Bhindi
raatti	Raati
ratti	Raati
Raatii	Raati
raati	Raati
MAUUSAM	Mausam
MAUSAM	Mausam
shiv	Shiv
Shhiv	Shiv
SHIVV	Shiv
yaadeinaa	Yaadeina
yaadeinaa	Yaadeina
yaadeinaa	Yaadeina
saveraee	Saveraee
saveraee	Saveraee
Saverraee	Saveraee
SAVERAEE	Saveraee
humsafarr	Humsafar
HUMASFAR	Humsafar
humsafar	Humsafar
hhumsafr	Humsafar
SAAPNA	Sapna
sapnna	Sapna
Sapna	Sapna
SSpna	Sapna
SAAFAR	Safar
SAFARR	Safar
SAFAR	Safar
PANEER	Paneer
paneerr	Paneer
paneer	Paneer
Spnaa	Sapna
sapnaa	Sapna
ssapna	Sapna
JANAAM	Janam
janaam	Janam
jjanam	Janam
AJNAAM	Janam
HAWA	Chawal
hawa	Chawal
DIN	Din
din	Din
DIN	Din
din	Din
kalakar	Kalakar
kalakar	Kalakar
klakarr	Kalakar
kalakkar	Kalakar
Deesh	Desh
Desh	Desh
desh	Desh
desh	Desh
rasgullla	Rasgulla
rrasgulal	Rasgulla
RASGULLAA	Rasgulla
RASGULLA	Rasgulla
kalakar	Kalakar
Kalakaar	Kalakar
VIRASAT	Virasat
Viraast	Virasat
Virasat	Virasat
Visrat	Virasat
Saaanjh	Saanjh
ssanjh	Saanjh
saanjh	Saanjh
bhagwan	Bhagwan
BHAGWAN	Bhagwan
musnk	Muskan
muskan	Muskan
muuskan	Muskan
KHUSHII	Khushi
Khushii	Khushi
ADLL	Dal
dal	Dal
dl	Idli
dal	Dal
PRASAD	Prasad
prasda	Prasada
prasad	Prasad
khwaaab	Khwaab
khwab	Khwaab
khwaaab	Khwaab
khwaab	Khwaab
raat	Virasat
Rata	Matar
raat	Virasat
SMAOSA	Samosa
SAMOSA	Samosa
sammosa	Samosa
Samosa	Samosa
hwaa	Khwaab
ahwa	Hawa
hummsafarn	Humsafarn
Humsfarn	Humsafarn
pyaarr	Pyaar
pyaar	Pyaar
din	Din
Din	Din
rotti	Roti
rotai	Roti
rooshnin	Roshnin
orshnin	Roshnin
Vriasat	Virasat
Virasat	Virasat
Sukoonu	Sukoonu
sukooonu	Sukoonu
sukoonuu	Sukoonu
Gulabjamun	Gulabjamun
Gulabjamun	Gulabjamun
durga	Durga
DURGA	Durga
DURGA	Durga
dinnn	Din
dinn	Din
diinn	Din
dinnn	Din
Dill	Dil
didl	Dil
dil	Dil
DIIL	Dil
jannam	Janam
jnam	Janam
pttagyra	Pattagyra
pattagyra	Pattagyra
Desh	Desh
dseh	Desh
eDsh	Desh
Rotti	Roti
rroti	Roti
